name,author,img_paths,bounding_boxes,text
Maps,Aleksandra Mizielinski,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000028.jpg,"[[[85, 89], [426, 89], [426, 193], [85, 193]]]","[""yeps""]"
Unofficial Harry Potter Cookbook,Dinah Bucholz,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000029.jpg,"[[[65, 41], [449, 41], [449, 247], [65, 247]]]","[""unofficial hapry pottep coorzoor""]"
Saga Volume 3,Brian K. Vaughan,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000030.jpg,"[[[69, 349], [437, 349], [437, 502], [69, 502]]]","[""saga tamee""]"
Darth Vader and Son,Jeffrey Brown,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000031.jpg,"[[[176, 10], [484, 10], [484, 278], [176, 278]]]","[""itaewiar darth vader @nd son""]"
V For Vendetta New (New Edition Tpb),Alan Moore,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000032.jpg,[],[]
"My Hero Academia, Vol. 2",Kouhei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000033.jpg,[],[]
The True Story Of The Three Little Pigs,Jon Scieszka,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000034.jpg,"[[[25, 0], [480, 0], [480, 221], [25, 221]]]","[""dalr ltole the true story of the 3 lmttle pigs! ry wou""]"
The Gruffalo,Julia Donaldson,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000035.jpg,"[[[15, 44], [340, 44], [340, 128], [15, 128]]]","[""gruffalo""]"
Dog Man 5: Lord of the Fleas,Dav Pilkey,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000036.jpg,"[[[64, 26], [475, 26], [475, 156], [64, 156]]]","[""dognman llorp df ihe fleas""]"
Paddington,Michael Bond,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000037.jpg,"[[[0, 169], [279, 169], [279, 333], [0, 333]]]","[""paddington mielacl rond 777 \""""]"
The Family Book,Todd Parr,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000038.jpg,"[[[27, 4], [487, 4], [487, 91], [27, 91]]]","[""the family book""]"
The Walking Dead Compendium Volume 1,Robert Kirkman,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000039.jpg,[],[]
The Day The Crayons Came Home,Drew Daywalt,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000040.jpg,"[[[29, 16], [489, 16], [489, 177], [29, 177]]]","[""the dar tke \u20acra rons cufn \u20ac #om \u20ac""]"
"My Hero Academia, Vol. 3",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000041.jpg,[],[]
"Tokyo Ghoul, Vol. 1",Sui Ishida,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000042.jpg,"[[[1, 6], [226, 6], [226, 184], [1, 184]]]","[""dc tokyo choul""]"
The Rabbits,Shaun Tan,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000043.jpg,"[[[192, 117], [416, 117], [416, 150], [192, 150]]]","[""tae rabbts""]"
Batman Year One,Frank Miller,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000044.jpg,"[[[141, 379], [426, 379], [426, 415], [141, 415]]]","[""tear one""]"
Dear Zoo Noisy Book,Rod Campbell,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000045.jpg,"[[[32, 12], [370, 12], [370, 167], [32, 167]]]","[""dear zoo nuisy buok""]"
Saga Volume 4,Brian K. Vaughan,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000046.jpg,"[[[80, 340], [436, 340], [436, 495], [80, 495]]]","[""saga toi""]"
Watchmen International Edition,Alan Moore,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000047.jpg,[],[]
Harold and the Purple Crayon,Crockett Johnson,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000048.jpg,"[[[18, 39], [474, 39], [474, 245], [18, 245]]]","[""harold and te 50 purple crayon""]"
The Umbrella Academy Volume 1: Apocalypse Suite,Gerard Way,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000049.jpg,[],[]
"My Hero Academia, Vol. 4",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000050.jpg,[],
Attack On Titan 1,Hajime Isayama,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000051.jpg,"[[[20, 0], [405, 0], [405, 139], [20, 139]]]","[""attack ontitan""]"
"One-Punch Man, Vol. 1",One,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000052.jpg,[],[]
"My Hero Academia, Vol. 5",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000053.jpg,[],[]
Thirteen Reasons Why,Jay Asher,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000054.jpg,"[[[42, 50], [461, 50], [461, 80], [42, 80]]]","[""13 aeasons wht [""]"
The Magic of Reality,Richard Dawkins,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000055.jpg,"[[[66, 220], [487, 220], [487, 431], [66, 431]]]","[""magic of cality ~hnamu rn""]"
Batman Hush,Jeph Loeb,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000056.jpg,"[[[20, 164], [487, 164], [487, 289], [20, 289]]]","[""4ush""]"
The Ugly Truth (Diary of a Wimpy Kid book 5),Jeff Kinney,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000057.jpg,"[[[71, 93], [469, 93], [469, 233], [71, 233]]]","[""wpkd the ugly truth""]"
After We Collided,Anna Todd,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000058.jpg,"[[[0, 31], [512, 31], [512, 436], [0, 436]]]","[""after we col aded annatodd #x 02 icae""]"
Saga Volume 9,Brian K Vaughan,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000059.jpg,[],[]
Saga Volume 5,Brian K. Vaughan,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000060.jpg,"[[[80, 344], [436, 344], [436, 478], [80, 478]]]","[""saga""]"
DanTDM: Trayaurus and the Enchanted Crystal,DanTDM,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000061.jpg,[],[]
"Tokyo Ghoul, Vol. 2",Sui Ishida,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000062.jpg,"[[[289, 106], [512, 106], [512, 189], [289, 189]]]","[""tokyo ghoul""]"
The Arrival,Shaun Tan,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000063.jpg,"[[[146, 60], [413, 60], [413, 100], [146, 100]]]","[""arrtyal""]"
Berserk Deluxe Volume 1,Kentaro Miura,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000064.jpg,[],[]
We Have Always Lived in the Castle,Shirley Jackson,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000065.jpg,"[[[182, 55], [475, 55], [475, 207], [182, 207]]]","[""shirley jackson wehave alwavslved inthecastle""]"
Fun Home,Alison Bechdel,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000066.jpg,[],[]
The Adventures of Dog Man 4: Dog Man and Cat Kid,Dav Pilkey,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000067.jpg,"[[[59, 32], [442, 32], [442, 149], [59, 149]]]","[""do:man and cat kid""]"
"Will Grayson, Will Grayson",John Green,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000068.jpg,"[[[42, 11], [491, 11], [491, 202], [42, 202]]]","[""will grayson; will grayson wem yor ticie5 dobtsgllee""]"
After,Anna Todd,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000069.jpg,"[[[0, 218], [512, 218], [512, 423], [0, 423]]]","[""after nnmdd""]"
Little Women,Louisa May Alcott,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000070.jpg,"[[[75, 52], [467, 52], [467, 481], [75, 481]]]","[""ittle &mon jenc-itlay""]"
Berserk Volume 1,Kentaro Miura,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000071.jpg,"[[[40, 24], [450, 24], [450, 120], [40, 120]]]","[""gerserk""]"
Harry Potter: A Pop-Up Book,Bruce Foster,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000072.jpg,"[[[40, 10], [477, 10], [477, 148], [40, 148]]]","[""halzh otter pop p book""]"
Drama,Raina Telgemeier,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000073.jpg,"[[[51, 86], [458, 86], [458, 160], [51, 160]]]","[""drama""]"
"My Hero Academia, Vol. 6",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000074.jpg,"[[[79, 11], [500, 11], [500, 98], [79, 98]]]","[""ntyhbro htatemia""]"
"The Promised Neverland, Vol. 1",KAIU SHIRAI,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000075.jpg,"[[[78, 22], [489, 22], [489, 128], [78, 128]]]","[""prmisz ~ei eriand""]"
Saga Volume 6,Brian K. Vaughan,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000076.jpg,"[[[46, 372], [462, 372], [462, 512], [46, 512]]]","[""saga""]"
The BFG,Roald Dahl,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000077.jpg,"[[[90, 1], [437, 1], [437, 271], [90, 271]]]","[""roald dahl thl bfg""]"
Asterix: Omnibus 1,Rene Goscinny,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000078.jpg,[],[]
The Adventure Zone,Carey Pietsch,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000079.jpg,[],[]
The Walking Dead Compendium Volume 2,Robert Kirkman,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000080.jpg,[],[]
"Tokyo Ghoul, Vol. 3",Sui Ishida,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000081.jpg,[],[]
Saga Volume 7,Brian K. Vaughan,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000082.jpg,"[[[79, 350], [434, 350], [434, 497], [79, 497]]]","[""saga glieh""]"
"My Hero Academia, Vol. 7",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000083.jpg,[],[]
"JoJo's Bizarre Adventure: Part 1--Phantom Blood, Vol. 1",Hirohiko Araki,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000084.jpg,[],[]
Cyanide and Happiness,Robert DenBleyker,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000085.jpg,"[[[12, 17], [519, 17], [519, 190], [12, 190]]]","[""cyanide & happiness ' kngiirg mvtkl fint""]"
125 True Stories of Amazing Animals,National Geographic Kids,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000086.jpg,"[[[32, 70], [481, 70], [481, 206], [32, 206]]]","[""925 kmazinganimals gtoriaso1""]"
The Life-Changing Manga of Tidying Up,Marie Kondo,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000087.jpg,"[[[34, 120], [281, 120], [281, 271], [34, 271]]]","[""the lifo-changing manga of tidyingup""]"
Asterix: Asterix The Gaul,Rene Goscinny,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000088.jpg,"[[[15, 0], [499, 0], [499, 125], [15, 125]]]","[""1 gozcinny iotetra doero asterix the gil]""]"
Deadpool Kills The Marvel Universe,Cullen Bunn,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000089.jpg,[],[]
"One-Punch Man, Vol. 2",One,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000090.jpg,"[[[11, 0], [512, 0], [512, 105], [11, 105]]]","[""oneaunchlhhn""]"
The Neverending Story,Michael Ende,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000091.jpg,"[[[117, 65], [404, 65], [404, 171], [117, 171]]]","[""tructcuding ecwtu ylte""]"
Saga Volume 8,Brian K. Vaughan,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000092.jpg,[],[]
"My Hero Academia, Vol. 8",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000093.jpg,[],[]
Indestructibles: Baby Faces,Amy Pixton,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000094.jpg,"[[[22, 15], [517, 15], [517, 185], [22, 185]]]","[""iv\"" fnt 'wpecn \""ub baby faces kuf hiwupy yjf""]"
Monstress Volume 1: Awakening,Marjorie Liu,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000095.jpg,[],[]
The Colour Monster Pop-Up,Anna Llenas,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000096.jpg,[],[]
Tomie,Junji Ito,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000097.jpg,[],[]
Vader's Little Princess,Jeffrey Brown,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000098.jpg,"[[[160, 8], [484, 8], [484, 209], [160, 209]]]","[""itarwart vaders ettle prncesa""]"
Attack On Titan 2,Hajime Isayama,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000099.jpg,"[[[50, 8], [409, 8], [409, 141], [50, 141]]]","[""ateck on ttn""]"
The Adventure Zone,Carey Pietsch,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000100.jpg,"[[[50, 11], [488, 11], [488, 192], [50, 192]]]","[""u4 adlnure zone""]"
"My Hero Academia, Volume 9",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000101.jpg,[],[]
The Action Bible,Sergio Cariello,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000102.jpg,"[[[28, 120], [336, 120], [336, 274], [28, 274]]]","[""#action birle""]"
"Tokyo Ghoul, Vol. 4",Sui Ishida,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000103.jpg,"[[[293, 7], [512, 7], [512, 512], [293, 512]]]","[""ghoul tokyo 4 g""]"
Gyo 2-in-1 Deluxe Edition,Junji Ito,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000104.jpg,"[[[153, 167], [470, 167], [470, 282], [153, 282]]]","[""g y 0 junii ito""]"
The Umbrella Academy Volume 2: Dallas,Gerard Way,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000105.jpg,"[[[105, 249], [433, 249], [433, 287], [105, 287]]]","[""uvurela aeacemy""]"
The Walking Dead Volume 1: Days Gone Bye,Robert Kirkman,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000106.jpg,[],[]
The Complete Persepolis,Marjane Satrapi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000107.jpg,"[[[18, 22], [494, 22], [494, 70], [18, 70]]]","[""persepolis""]"
Batman,Jeph Loeb,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000108.jpg,[],[]
"One-Punch Man, Vol. 3",One,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000109.jpg,[],[]
Paper Girls Volume 1,Brian K. Vaughan,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000110.jpg,"[[[22, 161], [490, 161], [490, 319], [22, 319]]]","[""fapea gub""]"
"My Hero Academia, Vol. 18",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000111.jpg,[],
The Walking Dead Book 1,Robert Kirkman,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000112.jpg,"[[[78, 263], [445, 263], [445, 457], [78, 457]]]","[""the wnalkig dead book dhe""]"
"The Promised Neverland, Vol. 2",KAIU SHIRAI,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000113.jpg,"[[[132, 16], [497, 16], [497, 122], [132, 122]]]","[""pomisle xere nd""]"
Batman Vol. 1 The Court Of Owls (The New 52),Scott Snyder,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000114.jpg,[],[]
"My Hero Academia, Vol. 10",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000115.jpg,"[[[73, 10], [498, 10], [498, 98], [73, 98]]]","[""myhero acaijeiia""]"
"My Hero Academia, Vol. 15",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000116.jpg,"[[[76, 0], [495, 0], [495, 83], [76, 83]]]","[""dtfieeo fcaeemia""]"
Asterix: Asterix in Britain,Rene Goscinny,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000117.jpg,"[[[12, 7], [499, 7], [499, 135], [12, 135]]]","[""rgosciuy aetert wdeid in asterix brimain""]"
Batman Vol. 2 The City Of Owls (The New 52),Scott Snyder,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000118.jpg,[],[]
Berserk Volume 2,Kentaro Miura,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000119.jpg,"[[[8, 8], [512, 8], [512, 147], [8, 147]]]","[""1ezsere""]"
"My Hero Academia, Vol. 20",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000120.jpg,"[[[77, 11], [492, 11], [492, 96], [77, 96]]]","[""myhero academta""]"
"Tokyo Ghoul, Vol. 5",Sui Ishida,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000121.jpg,"[[[9, 11], [227, 11], [227, 197], [9, 197]]]","[""tokyo ghoul 5 0u""]"
"My Hero Academia, Vol. 19",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000122.jpg,[],[]
Attack On Titan 3,Hajime Isayama,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000123.jpg,"[[[87, 5], [465, 5], [465, 146], [87, 146]]]","[""nnasx on thsin""]"
Encyclopedia Prehistorica: Dinosaurs,Robert Sabuda,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000124.jpg,[],
"My Hero Academia, Vol. 17",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000125.jpg,[],
Thea Stilton: #5 Thea Stilton and the Mystery in Paris,Thea Stilton,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000126.jpg,"[[[47, 98], [465, 98], [465, 203], [47, 203]]]","[""thea stilton aie giy pea""]"
"My Hero Academia, Vol. 16",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000127.jpg,[],
Sabrina,Nick Drnaso,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000128.jpg,"[[[29, 23], [483, 23], [483, 113], [29, 113]]]","[""sabrina""]"
Death Note Box Set (Vol.s 1-13),Tsugumi Ohba,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000129.jpg,[],
"JoJo's Bizarre Adventure: Part 1--Phantom Blood, Vol. 2",Hirohiko Araki,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000130.jpg,[],[]
"My Hero Academia, Vol. 11",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000131.jpg,"[[[121, 13], [498, 13], [498, 96], [121, 96]]]","[""mro hca u4""]"
"My Hero Academia, Vol. 14",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000132.jpg,"[[[74, 10], [490, 10], [490, 98], [74, 98]]]","[""fyhero ataijeiia""]"
Berserk Volume 3,Kentaro Miura,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000133.jpg,[],[]
My Lesbian Experience with Loneliness,Kabi Nagata,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000134.jpg,"[[[223, 27], [490, 27], [490, 151], [223, 151]]]","[""ke lesbian experience yil loneliness""]"
Avatar: The Last Airbender# The Promise Part 1,Michael Dante DiMartino,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000135.jpg,[],[]
Infinity Gauntlet,Jim Starlin,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000136.jpg,"[[[70, 0], [502, 0], [502, 126], [70, 126]]]","[""22 ikinf gannyir}""]"
The Hobbit,J. R. R. Tolkien,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000137.jpg,"[[[63, 13], [441, 13], [441, 145], [63, 145]]]","[""l tllien hobbit dfo""]"
"My Hero Academia, Vol. 12",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000138.jpg,"[[[76, 13], [494, 13], [494, 98], [76, 98]]]","[""iyhero acaijemia""]"
Mastering Manga with Mark Crilley,Mark Crilley,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000139.jpg,"[[[1, 10], [481, 10], [481, 151], [1, 151]]]","[""i masteing llazi wim mor ciee""]"
"Black Butler, Vol. 1",Yana Toboso,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000140.jpg,[],[]
Little Moments of Love,Catana Chetwynd,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000141.jpg,[],[]
"My Hero Academia, Vol. 13",Kohei Horikoshi,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000142.jpg,"[[[78, 11], [496, 11], [496, 98], [78, 98]]]","[""myhero icaijemiia""]"
"The Promised Neverland, Vol. 3",KAIU SHIRAI,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000143.jpg,"[[[38, 17], [486, 17], [486, 133], [38, 133]]]","[""wuc promised neverend""]"
"One-Punch Man, Vol. 4",One,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000144.jpg,[],[]
"One Piece, Vol. 1",Eiichiro Oda,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000145.jpg,[],[]
"Tokyo Ghoul, Vol. 6",Sui Ishida,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000146.jpg,"[[[287, 251], [507, 251], [507, 379], [287, 379]]]","[""tokyd ghoul me""]"
"JoJo's Bizarre Adventure: Part 1--Phantom Blood, Vol. 3",Hirohiko Araki,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000147.jpg,[],[]
The Dark Tower VII: The Dark Tower,Stephen King,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000148.jpg,"[[[74, 13], [433, 13], [433, 276], [74, 276]]]","[""stephen king dark towek? tfedrrtcter""]"
Asterix: Omnibus 2,Rene Goscinny,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000149.jpg,"[[[41, 27], [469, 27], [469, 172], [41, 172]]]","[""aeterx ant us""]"
Big Mushy Happy Lump,Sarah Andersen,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000150.jpg,"[[[57, 6], [512, 6], [512, 180], [57, 180]]]","[""big mushy happy lump a-sdks scrbdlcs <alccten""]"
"Overlord, Vol. 1 (light novel)",Kugane Maruyama,dataset\adjusted_dataset\Graphic-Novels-Anime-Manga\0000151.jpg,[],[]
